1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Washington,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Golden State
12:00.0,Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession)
5:43.0,T. Johnson makes 2-pt jump shot from 16 ft,+2,78-81,,
5:31.0,,,78-81,,Personal foul by A. Sarr (drawn by D. Green)
5:31.0,A. Gill enters the game for A. Sarr,,78-81,,
5:31.0,,,78-81,,D. Green misses free throw 1 of 2
5:31.0,,,78-81,,Offensive rebound by Team
5:31.0,,,78-82,+1,D. Green makes free throw 2 of 2
5:23.0,Turnover by S. Cooper (bad pass; steal by B. Podziemski),,78-82,,
5:14.0,,,78-84,+2,G. Payton makes 2-pt layup from 2 ft (assist by D. Green)
4:58.0,B. Carrington misses 2-pt jump shot from 20 ft,,78-84,,
4:57.0,,,78-84,,Defensive rebound by D. Green
4:52.0,,,78-84,,Turnover by D. Green (bad pass; steal by A. Gill)
4:50.0,Personal foul by G. Payton (drawn by A. Gill),,78-84,,
4:50.0,W. Riley enters the game for T. Johnson,,78-84,,
4:40.0,A. Gill misses 2-pt jump shot from 8 ft,,78-84,,
4:37.0,,,78-84,,Defensive rebound by P. Spencer
4:26.0,,,78-84,,P. Spencer misses 3-pt jump shot from 28 ft
4:23.0,Defensive rebound by L. Black,,78-84,,
4:19.0,Washington full timeout,,78-84,,
4:19.0,J. Champagnie enters the game for L. Black,,78-84,,
4:19.0,,,78-84,,L. Cryer enters the game for D. Green
4:19.0,,,78-84,,W. Richard enters the game for G. Payton
4:19.0,,,78-84,,O. Yurtseven enters the game for P. Spencer
4:13.0,B. Carrington makes 3-pt jump shot from 27 ft (assist by A. Gill),+3,81-84,,
3:52.0,,,81-84,,G. Santos misses 2-pt layup from 3 ft (block by A. Gill)
3:51.0,Defensive rebound by W. Riley,,81-84,,
3:46.0,S. Cooper misses 2-pt layup from 3 ft,,81-84,,
3:46.0,,,81-84,,Defensive rebound by B. Podziemski
3:43.0,,,81-84,,Turnover by B. Podziemski (bad pass; steal by W. Riley)
3:41.0,W. Riley makes 2-pt layup from 4 ft,+2,83-84,,
3:25.0,,,83-86,+2,B. Podziemski makes 2-pt jump shot from 1 ft
3:18.0,S. Cooper makes 2-pt layup from 2 ft,+2,85-86,,
2:55.0,,,85-86,,G. Santos misses 3-pt jump shot from 29 ft
