1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Sacramento,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession)
0:15.0,D. DeRozan misses 2-pt jump shot from 17 ft,,54-64,,
0:12.0,,,54-64,,Defensive rebound by N. Alexander-Walker
0:00.0,,,54-66,+2,C. McCollum makes 2-pt jump shot from 17 ft (assist by J. Johnson)
0:00.0,,,54-66,,Instant Replay (Request: Ruling Stands)
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Sacramento,,Score,,Atlanta
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:40.0,M. Monk misses 3-pt jump shot from 25 ft,,54-66,,
11:36.0,,,54-66,,Defensive rebound by N. Alexander-Walker
11:28.0,,,54-68,+2,C. McCollum makes 2-pt layup from 1 ft
11:18.0,D. Carter makes 2-pt layup from 1 ft,+2,56-68,,
10:55.0,,,56-68,,J. Johnson misses 3-pt jump shot from 25 ft
10:53.0,,,56-68,,Offensive rebound by C. McCollum
10:47.0,,,56-68,,J. Johnson misses 3-pt jump shot from 25 ft
10:44.0,Defensive rebound by M. Monk,,56-68,,
10:25.0,D. Carter misses 3-pt jump shot from 27 ft,,56-68,,
10:23.0,,,56-68,,Defensive rebound by J. Landale
10:14.0,,,56-70,+2,N. Alexander-Walker makes 2-pt layup from 1 ft
9:52.0,M. Raynaud makes 2-pt hook shot from 10 ft,+2,58-70,,
9:42.0,,,58-73,+3,C. McCollum makes 3-pt jump shot from 25 ft
9:28.0,D. DeRozan makes 2-pt jump shot from 15 ft,+2,60-73,,
9:14.0,,,60-73,,C. McCollum misses 3-pt jump shot from 23 ft
9:13.0,,,60-73,,Offensive rebound by Team
9:05.0,,,60-75,+2,J. Johnson makes 2-pt layup from 3 ft (assist by N. Alexander-Walker)
8:38.0,P. Achiuwa makes 2-pt jump shot from 10 ft,+2,62-75,,
8:22.0,,,62-75,,N. Alexander-Walker misses 3-pt jump shot from 25 ft
8:19.0,Defensive rebound by D. Carter,,62-75,,
8:17.0,Turnover by D. Carter (bad pass; steal by N. Alexander-Walker),,62-75,,
8:08.0,,,62-78,+3,M. Gueye makes 3-pt jump shot from 26 ft (assist by C. McCollum)
7:45.0,D. DeRozan makes 2-pt jump shot from 9 ft (assist by M. Monk),+2,64-78,,
7:25.0,,,64-78,,Turnover by N. Alexander-Walker (out of bounds lost ball)
7:07.0,M. Monk makes 2-pt jump shot from 10 ft,+2,66-78,,
6:55.0,,,66-78,,Turnover by J. Johnson (lost ball; steal by P. Achiuwa)
6:53.0,Personal foul by C. McCollum (drawn by D. Carter),,66-78,,
6:53.0,,,66-78,,Atlanta full timeout
6:53.0,,,66-78,,G. Vincent enters the game for C. McCollum
6:51.0,D. DeRozan misses 2-pt jump shot from 15 ft,,66-78,,
6:48.0,,,66-78,,Defensive rebound by J. Landale
6:28.0,,,66-78,,G. Vincent misses 3-pt jump shot from 25 ft
6:23.0,Defensive rebound by M. Raynaud,,66-78,,
6:03.0,P. Achiuwa makes 2-pt dunk from 1 ft (assist by D. DeRozan),+2,68-78,,
5:44.0,,,68-78,,J. Johnson misses 3-pt jump shot from 25 ft
5:42.0,,,68-78,,Offensive rebound by J. Landale
5:42.0,,,68-78,,Shooting foul by P. Achiuwa (drawn by J. Landale)
5:42.0,,,68-79,+1,J. Landale makes free throw 1 of 2
5:42.0,N. Clifford enters the game for P. Achiuwa,,68-79,,
5:42.0,D. Jeffries enters the game for D. Carter,,68-79,,
5:42.0,,,68-79,,J. Landale misses free throw 2 of 2
5:40.0,Defensive rebound by M. Raynaud,,68-79,,
5:25.0,D. DeRozan makes 2-pt layup from 2 ft,+2,70-79,,
5:14.0,,,70-79,,N. Alexander-Walker misses 2-pt jump shot from 11 ft
5:11.0,,,70-79,,Offensive rebound by J. Landale
5:11.0,,,70-79,,J. Landale misses 2-pt layup at rim
5:10.0,,,70-79,,Offensive rebound by N. Alexander-Walker
5:10.0,,,70-81,+2,J. Landale makes 2-pt layup from 1 ft (assist by N. Alexander-Walker)
5:10.0,,,70-81,,Shooting foul by M. Monk (drawn by J. Landale)
5:10.0,,,70-82,+1,J. Landale makes free throw 1 of 1
4:59.0,D. DeRozan misses 2-pt jump shot from 19 ft,,70-82,,
4:58.0,Offensive rebound by M. Raynaud,,70-82,,
4:58.0,Shooting foul by J. Landale (drawn by M. Raynaud),,70-82,,
4:58.0,M. Raynaud makes free throw 1 of 2,+1,71-82,,
4:58.0,,,71-82,,C. Koloko enters the game for M. Gueye
4:58.0,,,71-82,,Z. Risacher enters the game for J. Landale
4:58.0,M. Raynaud makes free throw 2 of 2,+1,72-82,,
4:43.0,,,72-82,,J. Johnson misses 2-pt jump shot from 6 ft
4:41.0,Defensive rebound by M. Raynaud,,72-82,,
4:27.0,N. Clifford misses 2-pt layup from 1 ft,,72-82,,
4:22.0,,,72-82,,Defensive rebound by J. Johnson
4:19.0,,,72-82,,C. Koloko misses 2-pt layup from 1 ft (block by N. Clifford)
4:18.0,,,72-82,,Offensive rebound by Team
4:18.0,D. Cardwell enters the game for D. DeRozan,,72-82,,
4:18.0,K. Hayes enters the game for M. Monk,,72-82,,
4:18.0,D. Plowden enters the game for M. Raynaud,,72-82,,
4:18.0,,,72-82,,Personal foul by D. Plowden (drawn by J. Johnson)
4:11.0,,,72-84,+2,N. Alexander-Walker makes 2-pt jump shot from 17 ft (assist by G. Vincent)
