date,home_team,away_team,winning_team
2001-01-02,Chicago Bulls,Milwaukee Bucks,1
2001-01-02,San Antonio Spurs,Miami Heat,0
2001-01-02,Seattle SuperSonics,Indiana Pacers,1
2001-01-02,Los Angeles Clippers,Toronto Raptors,0
2001-01-02,Sacramento Kings,Phoenix Suns,0
2001-01-03,Boston Celtics,New York Knicks,1
2001-01-03,Philadelphia 76ers,Atlanta Hawks,0
2001-01-03,Dallas Mavericks,Detroit Pistons,1
2001-01-03,Milwaukee Bucks,Cleveland Cavaliers,0
2001-01-03,Phoenix Suns,Los Angeles Clippers,0
2001-01-03,Portland Trail Blazers,Indiana Pacers,0
2001-01-03,Vancouver Grizzlies,Charlotte Hornets,0
2001-01-03,Golden State Warriors,Denver Nuggets,1
2001-01-03,Los Angeles Lakers,Utah Jazz,0
2001-01-04,Miami Heat,New Jersey Nets,0
2001-01-04,Minnesota Timberwolves,Seattle SuperSonics,0
2001-01-04,New York Knicks,Orlando Magic,0
2001-01-04,Chicago Bulls,Washington Wizards,0
2001-01-04,Houston Rockets,Detroit Pistons,0
2001-01-05,Philadelphia 76ers,Seattle SuperSonics,0
2001-01-05,Toronto Raptors,Dallas Mavericks,1
2001-01-05,Boston Celtics,Golden State Warriors,1
2001-01-05,Denver Nuggets,Utah Jazz,0
2001-01-05,Phoenix Suns,Vancouver Grizzlies,0
2001-01-05,Portland Trail Blazers,Milwaukee Bucks,0
2001-01-05,Los Angeles Clippers,Charlotte Hornets,1
2001-01-05,Sacramento Kings,Indiana Pacers,1
2001-01-06,Washington Wizards,Dallas Mavericks,1
2001-01-06,Atlanta Hawks,Orlando Magic,0
2001-01-06,Cleveland Cavaliers,Philadelphia 76ers,1
2001-01-06,Miami Heat,Boston Celtics,0
2001-01-06,New Jersey Nets,Golden State Warriors,0
2001-01-06,Houston Rockets,Utah Jazz,1
2001-01-06,San Antonio Spurs,Detroit Pistons,0
2001-01-07,Toronto Raptors,Seattle SuperSonics,0
2001-01-07,Vancouver Grizzlies,Milwaukee Bucks,0
2001-01-07,New York Knicks,Washington Wizards,0
2001-01-07,Phoenix Suns,Minnesota Timberwolves,1
2001-01-07,Denver Nuggets,Charlotte Hornets,0
2001-01-07,Los Angeles Lakers,Los Angeles Clippers,1
2001-01-08,Boston Celtics,Portland Trail Blazers,1
2001-01-08,Cleveland Cavaliers,New Jersey Nets,0
2001-01-08,Miami Heat,Golden State Warriors,0
2001-01-08,Chicago Bulls,Dallas Mavericks,1
2001-01-08,Los Angeles Clippers,Indiana Pacers,1
2001-01-08,Sacramento Kings,Minnesota Timberwolves,0
2001-01-09,Charlotte Hornets,Chicago Bulls,0
