1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Memphis
12:00.0,Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession)
0:23.0,M. Buzelis makes 2-pt dunk from 1 ft (assist by C. Sexton),+2,58-56,,
0:23.0,Violation by Team (delay of game),,58-56,,
0:04.0,,,58-56,,C. Coward misses 3-pt jump shot from 25 ft
0:00.0,Defensive rebound by M. Buzelis,,58-56,,
0:00.0,Team misses heave shot,,58-56,,
0:00.0,Offensive rebound by Team,,58-56,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Chicago,,Score,,Memphis
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
12:00.0,,,58-56,,Violation by Team (delay of game)
11:50.0,,,58-56,,G. Jackson misses 2-pt layup from 2 ft
11:48.0,Defensive rebound by J. Giddey,,58-56,,
11:37.0,J. Giddey makes 2-pt layup from 3 ft (assist by I. Okoro),+2,60-56,,
11:26.0,,,60-58,+2,R. Rupert makes 2-pt layup from 2 ft (assist by C. Coward)
11:11.0,M. Buzelis misses 3-pt jump shot from 23 ft,,60-58,,
11:09.0,,,60-58,,Defensive rebound by C. Coward
10:58.0,,,60-58,,J. Small misses 2-pt layup from 2 ft (block by J. Giddey)
10:58.0,,,60-58,,Offensive rebound by Team
10:54.0,,,60-61,+3,C. Coward makes 3-pt jump shot from 26 ft (assist by J. Small)
10:38.0,M. Buzelis makes 2-pt layup from 2 ft,+2,62-61,,
10:29.0,,,62-61,,R. Rupert misses 2-pt layup from 4 ft
10:26.0,Defensive rebound by L. Olbrich,,62-61,,
10:13.0,M. Buzelis makes 3-pt jump shot from 27 ft (assist by J. Giddey),+3,65-61,,
10:05.0,,,65-63,+2,R. Rupert makes 2-pt jump shot from 5 ft (assist by C. Coward)
9:56.0,Turnover by T. Jones (bad pass; steal by C. Coward),,65-63,,
9:51.0,,,65-65,+2,O. Prosper makes 2-pt layup from 3 ft (assist by R. Rupert)
9:51.0,,,65-65,,Shooting foul by M. Buzelis (drawn by O. Prosper)
9:51.0,,,65-66,+1,O. Prosper makes free throw 1 of 1
9:47.0,Shooting foul by J. Small (drawn by T. Jones),,65-66,,
9:47.0,T. Jones makes free throw 1 of 2,+1,66-66,,
9:47.0,T. Jones misses free throw 2 of 2,,66-66,,
9:45.0,,,66-66,,Defensive rebound by C. Coward
9:28.0,,,66-69,+3,J. Small makes 3-pt jump shot from 26 ft
9:22.0,Personal foul by J. Small (drawn by L. Olbrich),,66-69,,
9:22.0,Personal foul by J. Small (drawn by T. Jones),,66-69,,
9:20.0,Turnover by J. Giddey (bad pass; steal by J. Small),,66-69,,
9:19.0,,,66-69,,Personal foul by T. Jones (drawn by G. Jackson)
9:10.0,,,66-69,,G. Jackson misses 2-pt layup from 2 ft (block by J. Giddey)
9:08.0,Defensive rebound by J. Giddey,,66-69,,
9:04.0,Turnover by I. Okoro (lost ball; steal by C. Coward),,66-69,,
